t,r
1.307538358906e+01,4.318090985092e+01
1.320880587058e+01,4.317546733340e+01
1.334222815210e+01,4.316996397922e+01
1.347565043362e+01,4.316439966965e+01
1.360907271514e+01,4.315877428579e+01
1.374249499666e+01,4.315308770845e+01
1.387591727819e+01,4.314733981824e+01
1.400933955971e+01,4.314153049553e+01
1.414276184123e+01,4.313565962046e+01
1.427618412275e+01,4.312972707291e+01
1.440960640427e+01,4.312373273254e+01
1.454302868579e+01,4.311767647878e+01
1.467645096731e+01,4.311155819080e+01
1.480987324883e+01,4.310537774754e+01
1.494329553035e+01,4.309913502768e+01
1.507671781187e+01,4.309282990968e+01
1.521014009340e+01,4.308646227174e+01
1.534356237492e+01,4.308003199182e+01
1.547698465644e+01,4.307353894761e+01
1.561040693796e+01,4.306698301659e+01
1.574382921948e+01,4.306036407596e+01
1.587725150100e+01,4.305368200266e+01
1.601067378252e+01,4.304693667341e+01
1.614409606404e+01,4.304012796465e+01
1.627751834556e+01,4.303325575257e+01
1.641094062708e+01,4.302631991310e+01
1.654436290861e+01,4.301932032192e+01
1.667778519013e+01,4.301225685445e+01
1.681120747165e+01,4.300512938582e+01
1.694462975317e+01,4.299793779094e+01
1.707805203469e+01,4.299068194443e+01
1.721147431621e+01,4.298336172064e+01
1.734489659773e+01,4.297597699367e+01
1.747831887925e+01,4.296852763735e+01
1.761174116077e+01,4.296101352522e+01
1.774516344229e+01,4.295343453057e+01
1.787858572382e+01,4.294579052641e+01
1.801200800534e+01,4.293808138547e+01
1.814543028686e+01,4.293030698021e+01
1.827885256838e+01,4.292246718282e+01
1.841227484990e+01,4.291456186519e+01
1.854569713142e+01,4.290659089895e+01
1.867911941294e+01,4.289855415544e+01
1.881254169446e+01,4.289045150572e+01
1.894596397598e+01,4.288228282057e+01
1.907938625751e+01,4.287404797046e+01
1.921280853903e+01,4.286574682560e+01
1.934623082055e+01,4.285737925590e+01
1.947965310207e+01,4.284894513097e+01
1.961307538359e+01,4.284044432015e+01
1.974649766511e+01,4.283187669247e+01
1.987991994663e+01,4.282324211666e+01
2.001334222815e+01,4.281454046116e+01
2.014676450967e+01,4.280577159412e+01
2.028018679119e+01,4.279693538337e+01
2.041360907272e+01,4.278803169645e+01
2.054703135424e+01,4.277906040061e+01
2.068045363576e+01,4.277002136276e+01
2.081387591728e+01,4.276091444953e+01
2.094729819880e+01,4.275173952724e+01
2.108072048032e+01,4.274249646189e+01
2.121414276184e+01,4.273318511917e+01
2.134756504336e+01,4.272380536445e+01
2.148098732488e+01,4.271435706282e+01
2.161440960640e+01,4.270484007899e+01
2.174783188793e+01,4.269525427742e+01
2.188125416945e+01,4.268559952219e+01
2.201467645097e+01,4.267587567711e+01
2.214809873249e+01,4.266608260562e+01
2.228152101401e+01,4.265622017085e+01
2.241494329553e+01,4.264628823563e+01
2.254836557705e+01,4.263628666242e+01
2.268178785857e+01,4.262621531338e+01
2.281521014009e+01,4.261607405030e+01
2.294863242161e+01,4.260586273469e+01
2.308205470314e+01,4.259558122766e+01
2.321547698466e+01,4.258522939003e+01
2.334889926618e+01,4.257480708227e+01
2.348232154770e+01,4.256431416448e+01
2.361574382922e+01,4.255375049645e+01
2.374916611074e+01,4.254311593761e+01
2.388258839226e+01,4.253241034704e+01
2.401601067378e+01,4.252163358347e+01
2.414943295530e+01,4.251078550528e+01
2.428285523682e+01,4.249986597051e+01
2.441627751835e+01,4.248887483681e+01
2.454969979987e+01,4.247781196151e+01
2.468312208139e+01,4.246667720155e+01
2.481654436291e+01,4.245547041354e+01
2.494996664443e+01,4.244419145369e+01
2.508338892595e+01,4.243284017787e+01
2.521681120747e+01,4.242141644157e+01
2.535023348899e+01,4.240992009993e+01
2.548365577051e+01,4.239835100768e+01
2.561707805203e+01,4.238670901921e+01
2.575050033356e+01,4.237499398853e+01
2.588392261508e+01,4.236320576925e+01
2.601734489660e+01,4.235134421463e+01
2.615076717812e+01,4.233940917751e+01
2.628418945964e+01,4.232740051039e+01
2.641761174116e+01,4.231531806534e+01
2.655103402268e+01,4.230316169407e+01
2.668445630420e+01,4.229093124790e+01
2.681787858572e+01,4.227862657772e+01
2.695130086724e+01,4.226624753408e+01
2.708472314877e+01,4.225379396708e+01
2.721814543029e+01,4.224126572646e+01
2.735156771181e+01,4.222866266153e+01
2.748498999333e+01,4.221598462121e+01
2.761841227485e+01,4.220323145400e+01
2.775183455637e+01,4.219040300801e+01
2.788525683789e+01,4.217749913092e+01
2.801867911941e+01,4.216451967001e+01
2.815210140093e+01,4.215146447214e+01
2.828552368245e+01,4.213833338374e+01
2.841894596398e+01,4.212512625082e+01
2.855236824550e+01,4.211184291899e+01
2.868579052702e+01,4.209848323342e+01
2.881921280854e+01,4.208504703883e+01
2.895263509006e+01,4.207153417954e+01
2.908605737158e+01,4.205794449943e+01
2.921947965310e+01,4.204427784193e+01
2.935290193462e+01,4.203053405004e+01
2.948632421614e+01,4.201671296633e+01
2.961974649767e+01,4.200281443290e+01
2.975316877919e+01,4.198883829144e+01
2.988659106071e+01,4.197478438315e+01
3.002001334223e+01,4.196065254882e+01
3.015343562375e+01,4.194644262875e+01
3.028685790527e+01,4.193215446281e+01
3.042028018679e+01,4.191778789040e+01
3.055370246831e+01,4.190334275045e+01
3.068712474983e+01,4.188881888144e+01
3.082054703135e+01,4.187421612137e+01
3.095396931288e+01,4.185953430779e+01
3.108739159440e+01,4.184477327775e+01
3.122081387592e+01,4.182993286785e+01
3.135423615744e+01,4.181501291419e+01
3.148765843896e+01,4.180001325240e+01
3.162108072048e+01,4.178493371763e+01
3.175450300200e+01,4.176977414454e+01
3.188792528352e+01,4.175453436728e+01
3.202134756504e+01,4.173921421954e+01
3.215476984656e+01,4.172381353450e+01
3.228819212809e+01,4.170833214484e+01
3.242161440961e+01,4.169276988273e+01
3.255503669113e+01,4.167712657986e+01
3.268845897265e+01,4.166140206739e+01
3.282188125417e+01,4.164559617597e+01
3.295530353569e+01,4.162970873575e+01
3.308872581721e+01,4.161373957636e+01
3.322214809873e+01,4.159768852690e+01
3.335557038025e+01,4.158155541596e+01
3.348899266177e+01,4.156534007160e+01
3.362241494330e+01,4.154904232134e+01
3.375583722482e+01,4.153266199219e+01
3.388925950634e+01,4.151619891060e+01
3.402268178786e+01,4.149965290250e+01
3.415610406938e+01,4.148302379326e+01
3.428952635090e+01,4.146631140772e+01
3.442294863242e+01,4.144951557018e+01
3.455637091394e+01,4.143263610435e+01
3.468979319546e+01,4.141567283343e+01
3.482321547698e+01,4.139862558004e+01
3.495663775851e+01,4.138149416622e+01
3.509006004003e+01,4.136427841348e+01
3.522348232155e+01,4.134697814274e+01
3.535690460307e+01,4.132959317435e+01
3.549032688459e+01,4.131212332809e+01
3.562374916611e+01,4.129456842315e+01
3.575717144763e+01,4.127692827815e+01
3.589059372915e+01,4.125920271112e+01
3.602401601067e+01,4.124139153948e+01
3.615743829219e+01,4.122349458009e+01
3.629086057372e+01,4.120551164919e+01
3.642428285524e+01,4.118744256242e+01
3.655770513676e+01,4.116928713482e+01
3.669112741828e+01,4.115104518082e+01
3.682454969980e+01,4.113271651424e+01
3.695797198132e+01,4.111430094829e+01
3.709139426284e+01,4.109579829553e+01
3.722481654436e+01,4.107720836794e+01
3.735823882588e+01,4.105853097684e+01
3.749166110740e+01,4.103976593292e+01
3.762508338893e+01,4.102091304625e+01
3.775850567045e+01,4.100197212626e+01
3.789192795197e+01,4.098294298171e+01
3.802535023349e+01,4.096382542074e+01
3.815877251501e+01,4.094461925083e+01
3.829219479653e+01,4.092532427880e+01
3.842561707805e+01,4.090594031082e+01
3.855903935957e+01,4.088646715238e+01
3.869246164109e+01,4.086690460830e+01
3.882588392262e+01,4.084725248275e+01
3.895930620414e+01,4.082751057921e+01
3.909272848566e+01,4.080767870048e+01
3.922615076718e+01,4.078775664865e+01
3.935957304870e+01,4.076774422517e+01
3.949299533022e+01,4.074764123075e+01
3.962641761174e+01,4.072744746542e+01
3.975983989326e+01,4.070716272851e+01
3.989326217478e+01,4.068678681864e+01
4.002668445630e+01,4.066631953371e+01
4.016010673783e+01,4.064576067090e+01
4.029352901935e+01,4.062511002668e+01
4.042695130087e+01,4.060436739679e+01
4.056037358239e+01,4.058353257623e+01
4.069379586391e+01,4.056260535928e+01
4.082721814543e+01,4.054158553948e+01
4.096064042695e+01,4.052047290959e+01
4.109406270847e+01,4.049926726166e+01
4.122748498999e+01,4.047796838697e+01
4.136090727151e+01,4.045657607604e+01
4.149432955304e+01,4.043509011861e+01
4.162775183456e+01,4.041351030368e+01
4.176117411608e+01,4.039183641944e+01
4.189459639760e+01,4.037006825334e+01
4.202801867912e+01,4.034820559200e+01
