t,r
0.000000000000e+00,8.999999999100e+01
6.671114076051e-02,8.999999869605e+01
1.334222815210e-01,8.999999485870e+01
2.001334222815e-01,8.999998862395e+01
2.668445630420e-01,8.999997994885e+01
3.335557038025e-01,8.999996883114e+01
4.002668445630e-01,8.999995527112e+01
4.669779853235e-01,8.999993926865e+01
5.336891260841e-01,8.999992082354e+01
6.004002668446e-01,8.999989993571e+01
6.671114076051e-01,8.999987660507e+01
7.338225483656e-01,8.999985083150e+01
8.005336891261e-01,8.999982261490e+01
8.672448298866e-01,8.999979195518e+01
9.339559706471e-01,8.999975885224e+01
1.000667111408e+00,8.999972330596e+01
1.067378252168e+00,8.999968531624e+01
1.134089392929e+00,8.999964488300e+01
1.200800533689e+00,8.999960200611e+01
1.267511674450e+00,8.999955668549e+01
1.334222815210e+00,8.999950892102e+01
1.400933955971e+00,8.999945871260e+01
1.467645096731e+00,8.999940606014e+01
1.534356237492e+00,8.999935096353e+01
1.601067378252e+00,8.999929342266e+01
1.667778519013e+00,8.999923343744e+01
1.734489659773e+00,8.999917100776e+01
1.801200800534e+00,8.999910613351e+01
1.867911941294e+00,8.999903881460e+01
1.934623082055e+00,8.999896905092e+01
2.001334222815e+00,8.999889684236e+01
2.068045363576e+00,8.999882218882e+01
2.134756504336e+00,8.999874509021e+01
2.201467645097e+00,8.999866554641e+01
2.268178785857e+00,8.999858355732e+01
2.334889926618e+00,8.999849912283e+01
2.401601067378e+00,8.999841224285e+01
2.468312208139e+00,8.999832291727e+01
2.535023348899e+00,8.999823114598e+01
2.601734489660e+00,8.999813692887e+01
2.668445630420e+00,8.999804026586e+01
2.735156771181e+00,8.999794115682e+01
2.801867911941e+00,8.999783960166e+01
2.868579052702e+00,8.999773560026e+01
2.935290193462e+00,8.999762915253e+01
3.002001334223e+00,8.999752025836e+01
3.068712474983e+00,8.999740891765e+01
3.135423615744e+00,8.999729513028e+01
3.202134756504e+00,8.999717889615e+01
3.268845897265e+00,8.999706021517e+01
3.335557038025e+00,8.999693908721e+01
3.402268178786e+00,8.999681551218e+01
3.468979319546e+00,8.999668948997e+01
3.535690460307e+00,8.999656102047e+01
3.602401601067e+00,8.999643010358e+01
3.669112741828e+00,8.999629673920e+01
3.735823882588e+00,8.999616092720e+01
3.802535023349e+00,8.999602266750e+01
3.869246164109e+00,8.999588195997e+01
3.935957304870e+00,8.999573880452e+01
4.002668445630e+00,8.999559320104e+01
4.069379586391e+00,8.999544514942e+01
4.136090727151e+00,8.999529464956e+01
4.202801867912e+00,8.999514170134e+01
4.269513008672e+00,8.999498630466e+01
4.336224149433e+00,8.999482845941e+01
4.402935290193e+00,8.999466816549e+01
4.469646430954e+00,8.999450542279e+01
4.536357571714e+00,8.999434023119e+01
4.603068712475e+00,8.999417259060e+01
4.669779853235e+00,8.999400250090e+01
4.736490993996e+00,8.999382996199e+01
4.803202134757e+00,8.999365497375e+01
4.869913275517e+00,8.999347753608e+01
4.936624416278e+00,8.999329764888e+01
5.003335557038e+00,8.999311531202e+01
5.070046697799e+00,8.999293052542e+01
5.136757838559e+00,8.999274328894e+01
5.203468979320e+00,8.999255360249e+01
5.270180120080e+00,8.999236146597e+01
5.336891260841e+00,8.999216687924e+01
