t,r
3.935957304870e+00,4.348418616609e+01
4.002668445630e+00,4.348364365391e+01
4.069379586391e+00,4.348309194330e+01
4.136090727151e+00,4.348253103178e+01
4.202801867912e+00,4.348196091692e+01
4.269513008672e+00,4.348138159624e+01
4.336224149433e+00,4.348079306728e+01
4.402935290193e+00,4.348019532758e+01
4.469646430954e+00,4.347958837467e+01
4.536357571714e+00,4.347897220607e+01
4.603068712475e+00,4.347834681932e+01
4.669779853235e+00,4.347771221193e+01
4.736490993996e+00,4.347706838142e+01
4.803202134757e+00,4.347641532532e+01
4.869913275517e+00,4.347575304113e+01
4.936624416278e+00,4.347508152637e+01
5.003335557038e+00,4.347440077854e+01
5.070046697799e+00,4.347371079515e+01
5.136757838559e+00,4.347301157371e+01
5.203468979320e+00,4.347230311172e+01
5.270180120080e+00,4.347158540667e+01
5.336891260841e+00,4.347085845605e+01
5.403602401601e+00,4.347012225736e+01
5.470313542362e+00,4.346937680809e+01
5.537024683122e+00,4.346862210572e+01
5.603735823883e+00,4.346785814773e+01
5.670446964643e+00,4.346708493161e+01
5.737158105404e+00,4.346630245484e+01
5.803869246164e+00,4.346551071488e+01
5.870580386925e+00,4.346470970920e+01
5.937291527685e+00,4.346389943529e+01
6.004002668446e+00,4.346307989060e+01
6.070713809206e+00,4.346225107259e+01
6.137424949967e+00,4.346141297873e+01
6.204136090727e+00,4.346056560647e+01
6.270847231488e+00,4.345970895327e+01
6.337558372248e+00,4.345884301657e+01
6.404269513009e+00,4.345796779383e+01
6.470980653769e+00,4.345708328249e+01
6.537691794530e+00,4.345618947999e+01
6.604402935290e+00,4.345528638378e+01
6.671114076051e+00,4.345437399128e+01
6.737825216811e+00,4.345345229993e+01
6.804536357572e+00,4.345252130717e+01
6.871247498332e+00,4.345158101041e+01
6.937958639093e+00,4.345063140709e+01
7.004669779853e+00,4.344967249462e+01
7.071380920614e+00,4.344870427043e+01
7.138092061374e+00,4.344772673193e+01
7.204803202135e+00,4.344673987653e+01
7.271514342895e+00,4.344574370164e+01
7.338225483656e+00,4.344473820467e+01
7.404936624416e+00,4.344372338302e+01
7.471647765177e+00,4.344269923409e+01
7.538358905937e+00,4.344166575529e+01
7.605070046698e+00,4.344062294399e+01
7.671781187458e+00,4.343957079760e+01
7.738492328219e+00,4.343850931351e+01
7.805203468979e+00,4.343743848909e+01
7.871914609740e+00,4.343635832174e+01
7.938625750500e+00,4.343526880883e+01
8.005336891261e+00,4.343416994773e+01
8.072048032021e+00,4.343306173583e+01
8.138759172782e+00,4.343194417048e+01
8.205470313542e+00,4.343081724907e+01
8.272181454303e+00,4.342968096894e+01
8.338892595063e+00,4.342853532747e+01
8.405603735824e+00,4.342738032201e+01
8.472314876584e+00,4.342621594991e+01
8.539026017345e+00,4.342504220853e+01
8.605737158105e+00,4.342385909521e+01
8.672448298866e+00,4.342266660730e+01
8.739159439626e+00,4.342146474215e+01
8.805870580387e+00,4.342025349708e+01
8.872581721147e+00,4.341903286945e+01
8.939292861908e+00,4.341780285657e+01
9.006004002668e+00,4.341656345579e+01
9.072715143429e+00,4.341531466442e+01
9.139426284189e+00,4.341405647980e+01
9.206137424950e+00,4.341278889923e+01
9.272848565710e+00,4.341151192004e+01
9.339559706471e+00,4.341022553955e+01
9.406270847231e+00,4.340892975506e+01
9.472981987992e+00,4.340762456388e+01
9.539693128753e+00,4.340630996331e+01
9.606404269513e+00,4.340498595066e+01
9.673115410274e+00,4.340365252322e+01
9.739826551034e+00,4.340230967830e+01
9.806537691795e+00,4.340095741317e+01
9.873248832555e+00,4.339959572514e+01
9.939959973316e+00,4.339822461148e+01
1.000667111408e+01,4.339684406948e+01
1.007338225484e+01,4.339545409641e+01
1.014009339560e+01,4.339405468956e+01
1.020680453636e+01,4.339264584619e+01
1.027351567712e+01,4.339122756358e+01
1.034022681788e+01,4.338979983898e+01
1.040693795864e+01,4.338836266967e+01
1.047364909940e+01,4.338691605290e+01
1.054036024016e+01,4.338545998592e+01
1.060707138092e+01,4.338399446600e+01
1.067378252168e+01,4.338251949038e+01
1.074049366244e+01,4.338103505630e+01
1.080720480320e+01,4.337954116102e+01
1.087391594396e+01,4.337803780176e+01
1.094062708472e+01,4.337652497577e+01
1.100733822548e+01,4.337500268029e+01
1.107404936624e+01,4.337347091253e+01
1.114076050700e+01,4.337192966972e+01
1.120747164777e+01,4.337037894910e+01
1.127418278853e+01,4.336881874788e+01
1.134089392929e+01,4.336724906327e+01
1.140760507005e+01,4.336566989249e+01
1.147431621081e+01,4.336408123275e+01
1.154102735157e+01,4.336248308126e+01
1.160773849233e+01,4.336087543522e+01
1.167444963309e+01,4.335925829183e+01
1.174116077385e+01,4.335763164828e+01
1.180787191461e+01,4.335599550178e+01
1.187458305537e+01,4.335434984950e+01
1.194129419613e+01,4.335269468864e+01
1.200800533689e+01,4.335103001637e+01
1.207471647765e+01,4.334935582989e+01
1.214142761841e+01,4.334767212636e+01
1.220813875917e+01,4.334597890296e+01
1.227484989993e+01,4.334427615685e+01
1.234156104069e+01,4.334256388521e+01
1.240827218145e+01,4.334084208519e+01
1.247498332221e+01,4.333911075396e+01
1.254169446298e+01,4.333736988868e+01
1.260840560374e+01,4.333561948648e+01
1.267511674450e+01,4.333385954453e+01
1.274182788526e+01,4.333209005996e+01
1.280853902602e+01,4.333031102993e+01
1.287525016678e+01,4.332852245156e+01
1.294196130754e+01,4.332672432200e+01
1.300867244830e+01,4.332491663837e+01
1.307538358906e+01,4.332309939780e+01
1.314209472982e+01,4.332127259743e+01
1.320880587058e+01,4.331943623436e+01
1.327551701134e+01,4.331759030572e+01
1.334222815210e+01,4.331573480862e+01
1.340893929286e+01,4.331386974018e+01
1.347565043362e+01,4.331199509749e+01
1.354236157438e+01,4.331011087767e+01
1.360907271514e+01,4.330821707781e+01
1.367578385590e+01,4.330631369500e+01
1.374249499666e+01,4.330440072636e+01
1.380920613742e+01,4.330247816895e+01
1.387591727819e+01,4.330054601987e+01
1.394262841895e+01,4.329860427621e+01
1.400933955971e+01,4.329665293503e+01
1.407605070047e+01,4.329469199342e+01
1.414276184123e+01,4.329272144844e+01
1.420947298199e+01,4.329074129717e+01
1.427618412275e+01,4.328875153667e+01
1.434289526351e+01,4.328675216400e+01
1.440960640427e+01,4.328474317622e+01
1.447631754503e+01,4.328272457037e+01
1.454302868579e+01,4.328069634353e+01
1.460973982655e+01,4.327865849271e+01
1.467645096731e+01,4.327661101498e+01
1.474316210807e+01,4.327455390738e+01
1.480987324883e+01,4.327248716692e+01
1.487658438959e+01,4.327041079066e+01
1.494329553035e+01,4.326832477561e+01
1.501000667111e+01,4.326622911881e+01
1.507671781187e+01,4.326412381726e+01
1.514342895264e+01,4.326200886800e+01
1.521014009340e+01,4.325988426803e+01
1.527685123416e+01,4.325775001436e+01
1.534356237492e+01,4.325560610401e+01
1.541027351568e+01,4.325345253397e+01
1.547698465644e+01,4.325128930124e+01
1.554369579720e+01,4.324911640281e+01
1.561040693796e+01,4.324693383569e+01
1.567711807872e+01,4.324474159685e+01
1.574382921948e+01,4.324253968329e+01
1.581054036024e+01,4.324032809197e+01
1.587725150100e+01,4.323810681989e+01
1.594396264176e+01,4.323587586400e+01
1.601067378252e+01,4.323363522129e+01
1.607738492328e+01,4.323138488871e+01
1.614409606404e+01,4.322912486322e+01
1.621080720480e+01,4.322685514180e+01
1.627751834556e+01,4.322457572138e+01
1.634422948632e+01,4.322228659892e+01
1.641094062708e+01,4.321998777137e+01
1.647765176785e+01,4.321767923567e+01
1.654436290861e+01,4.321536098876e+01
1.661107404937e+01,4.321303302757e+01
