t,r
0.000000000000e+00,7.449999999255e+01
6.671114076051e-02,7.449999826580e+01
1.334222815210e-01,7.449999291739e+01
2.001334222815e-01,7.449998416535e+01
2.668445630420e-01,7.449997194439e+01
3.335557038025e-01,7.449995625105e+01
4.002668445630e-01,7.449993708568e+01
4.669779853235e-01,7.449991444801e+01
5.336891260841e-01,7.449988833766e+01
6.004002668446e-01,7.449985875445e+01
6.671114076051e-01,7.449982569815e+01
7.338225483656e-01,7.449978916851e+01
8.005336891261e-01,7.449974916530e+01
8.672448298866e-01,7.449970568830e+01
9.339559706471e-01,7.449965873727e+01
1.000667111408e+00,7.449960831197e+01
1.067378252168e+00,7.449955441218e+01
1.134089392929e+00,7.449949703766e+01
1.200800533689e+00,7.449943618818e+01
1.267511674450e+00,7.449937186350e+01
1.334222815210e+00,7.449930406339e+01
1.400933955971e+00,7.449923278762e+01
1.467645096731e+00,7.449915803594e+01
1.534356237492e+00,7.449907980814e+01
1.601067378252e+00,7.449899810397e+01
1.667778519013e+00,7.449891292319e+01
1.734489659773e+00,7.449882426557e+01
1.801200800534e+00,7.449873213088e+01
1.867911941294e+00,7.449863651888e+01
1.934623082055e+00,7.449853742933e+01
2.001334222815e+00,7.449843486200e+01
2.068045363576e+00,7.449832881665e+01
2.134756504336e+00,7.449821929305e+01
2.201467645097e+00,7.449810629095e+01
2.268178785857e+00,7.449798981012e+01
2.334889926618e+00,7.449786985032e+01
2.401601067378e+00,7.449774641131e+01
2.468312208139e+00,7.449761949286e+01
2.535023348899e+00,7.449748909473e+01
2.601734489660e+00,7.449735521667e+01
2.668445630420e+00,7.449721785846e+01
2.735156771181e+00,7.449707701984e+01
2.801867911941e+00,7.449693270058e+01
2.868579052702e+00,7.449678490045e+01
2.935290193462e+00,7.449663361919e+01
3.002001334223e+00,7.449647885658e+01
3.068712474983e+00,7.449632061237e+01
3.135423615744e+00,7.449615888631e+01
3.202134756504e+00,7.449599367818e+01
3.268845897265e+00,7.449582498772e+01
3.335557038025e+00,7.449565281470e+01
3.402268178786e+00,7.449547715887e+01
3.468979319546e+00,7.449529802000e+01
3.535690460307e+00,7.449511539783e+01
3.602401601067e+00,7.449492929214e+01
3.669112741828e+00,7.449473970266e+01
3.735823882588e+00,7.449454662917e+01
3.802535023349e+00,7.449435007142e+01
3.869246164109e+00,7.449415002916e+01
3.935957304870e+00,7.449394650216e+01
4.002668445630e+00,7.449373949016e+01
4.069379586391e+00,7.449352899293e+01
4.136090727151e+00,7.449331501021e+01
4.202801867912e+00,7.449309754177e+01
4.269513008672e+00,7.449287658735e+01
4.336224149433e+00,7.449265214672e+01
4.402935290193e+00,7.449242421963e+01
4.469646430954e+00,7.449219280583e+01
4.536357571714e+00,7.449195790508e+01
4.603068712475e+00,7.449171951712e+01
4.669779853235e+00,7.449147764172e+01
4.736490993996e+00,7.449123227863e+01
4.803202134757e+00,7.449098342759e+01
4.869913275517e+00,7.449073108837e+01
4.936624416278e+00,7.449047526071e+01
5.003335557038e+00,7.449021594437e+01
5.070046697799e+00,7.448995313910e+01
5.136757838559e+00,7.448968684464e+01
5.203468979320e+00,7.448941706076e+01
5.270180120080e+00,7.448914378720e+01
5.336891260841e+00,7.448886702372e+01
5.403602401601e+00,7.448858677005e+01
5.470313542362e+00,7.448830302597e+01
5.537024683122e+00,7.448801579120e+01
5.603735823883e+00,7.448772506552e+01
5.670446964643e+00,7.448743084865e+01
5.737158105404e+00,7.448713314036e+01
5.803869246164e+00,7.448683194039e+01
5.870580386925e+00,7.448652724849e+01
5.937291527685e+00,7.448621906442e+01
6.004002668446e+00,7.448590738791e+01
6.070713809206e+00,7.448559221871e+01
6.137424949967e+00,7.448527355658e+01
6.204136090727e+00,7.448495140126e+01
6.270847231488e+00,7.448462575250e+01
6.337558372248e+00,7.448429661005e+01
6.404269513009e+00,7.448396397364e+01
6.470980653769e+00,7.448362784304e+01
6.537691794530e+00,7.448328821798e+01
6.604402935290e+00,7.448294509821e+01
6.671114076051e+00,7.448259848348e+01
6.737825216811e+00,7.448224837353e+01
6.804536357572e+00,7.448189476811e+01
6.871247498332e+00,7.448153766695e+01
6.937958639093e+00,7.448117706982e+01
7.004669779853e+00,7.448081297645e+01
7.071380920614e+00,7.448044538658e+01
