t,r
0.000000000000e+00,5.899999999410e+01
6.671114076051e-02,5.899999753628e+01
1.334222815210e-01,5.899998953174e+01
2.001334222815e-01,5.899997632647e+01
2.668445630420e-01,5.899995781492e+01
3.335557038025e-01,5.899993399124e+01
4.002668445630e-01,5.899990485573e+01
4.669779853235e-01,5.899987040769e+01
5.336891260841e-01,5.899983064626e+01
6.004002668446e-01,5.899978557087e+01
6.671114076051e-01,5.899973518090e+01
7.338225483656e-01,5.899967947569e+01
8.005336891261e-01,5.899961845461e+01
8.672448298866e-01,5.899955211702e+01
9.339559706471e-01,5.899948046228e+01
1.000667111408e+00,5.899940348977e+01
1.067378252168e+00,5.899932119883e+01
1.134089392929e+00,5.899923358884e+01
1.200800533689e+00,5.899914065914e+01
1.267511674450e+00,5.899904240910e+01
1.334222815210e+00,5.899893883809e+01
1.400933955971e+00,5.899882994545e+01
1.467645096731e+00,5.899871573054e+01
1.534356237492e+00,5.899859619272e+01
1.601067378252e+00,5.899847133136e+01
1.667778519013e+00,5.899834114579e+01
1.734489659773e+00,5.899820563538e+01
1.801200800534e+00,5.899806479948e+01
1.867911941294e+00,5.899791863745e+01
1.934623082055e+00,5.899776714863e+01
2.001334222815e+00,5.899761033239e+01
2.068045363576e+00,5.899744818806e+01
2.134756504336e+00,5.899728071500e+01
2.201467645097e+00,5.899710791256e+01
2.268178785857e+00,5.899692978009e+01
2.334889926618e+00,5.899674631694e+01
2.401601067378e+00,5.899655752246e+01
2.468312208139e+00,5.899636339598e+01
2.535023348899e+00,5.899616393686e+01
2.601734489660e+00,5.899595914445e+01
2.668445630420e+00,5.899574901808e+01
2.735156771181e+00,5.899553355711e+01
2.801867911941e+00,5.899531276087e+01
2.868579052702e+00,5.899508662871e+01
2.935290193462e+00,5.899485515997e+01
3.002001334223e+00,5.899461835399e+01
3.068712474983e+00,5.899437621011e+01
3.135423615744e+00,5.899412872767e+01
3.202134756504e+00,5.899387590601e+01
3.268845897265e+00,5.899361774447e+01
3.335557038025e+00,5.899335424239e+01
3.402268178786e+00,5.899308539910e+01
3.468979319546e+00,5.899281121394e+01
3.535690460307e+00,5.899253168625e+01
3.602401601067e+00,5.899224681535e+01
3.669112741828e+00,5.899195660059e+01
3.735823882588e+00,5.899166104129e+01
3.802535023349e+00,5.899136013680e+01
3.869246164109e+00,5.899105388643e+01
3.935957304870e+00,5.899074228953e+01
4.002668445630e+00,5.899042534542e+01
4.069379586391e+00,5.899010305343e+01
4.136090727151e+00,5.898977541289e+01
4.202801867912e+00,5.898944242313e+01
4.269513008672e+00,5.898910408348e+01
4.336224149433e+00,5.898876039326e+01
4.402935290193e+00,5.898841135180e+01
4.469646430954e+00,5.898805695843e+01
4.536357571714e+00,5.898769721247e+01
4.603068712475e+00,5.898733211324e+01
4.669779853235e+00,5.898696166007e+01
4.736490993996e+00,5.898658585227e+01
4.803202134757e+00,5.898620468918e+01
4.869913275517e+00,5.898581817010e+01
4.936624416278e+00,5.898542629437e+01
5.003335557038e+00,5.898502906130e+01
5.070046697799e+00,5.898462647022e+01
5.136757838559e+00,5.898421852042e+01
5.203468979320e+00,5.898380521125e+01
5.270180120080e+00,5.898338654200e+01
5.336891260841e+00,5.898296251201e+01
5.403602401601e+00,5.898253312057e+01
5.470313542362e+00,5.898209836701e+01
5.537024683122e+00,5.898165825065e+01
5.603735823883e+00,5.898121277078e+01
5.670446964643e+00,5.898076192673e+01
5.737158105404e+00,5.898030571781e+01
5.803869246164e+00,5.897984414333e+01
5.870580386925e+00,5.897937720259e+01
5.937291527685e+00,5.897890489491e+01
6.004002668446e+00,5.897842721960e+01
6.070713809206e+00,5.897794417595e+01
6.137424949967e+00,5.897745576329e+01
6.204136090727e+00,5.897696198091e+01
6.270847231488e+00,5.897646282813e+01
6.337558372248e+00,5.897595830424e+01
6.404269513009e+00,5.897544840854e+01
6.470980653769e+00,5.897493314036e+01
6.537691794530e+00,5.897441249897e+01
6.604402935290e+00,5.897388648370e+01
6.671114076051e+00,5.897335509383e+01
6.737825216811e+00,5.897281832867e+01
6.804536357572e+00,5.897227618752e+01
6.871247498332e+00,5.897172866967e+01
6.937958639093e+00,5.897117577443e+01
7.004669779853e+00,5.897061750109e+01
7.071380920614e+00,5.897005384895e+01
7.138092061374e+00,5.896948481730e+01
7.204803202135e+00,5.896891040544e+01
7.271514342895e+00,5.896833061267e+01
7.338225483656e+00,5.896774543827e+01
7.404936624416e+00,5.896715488153e+01
7.471647765177e+00,5.896655894176e+01
7.538358905937e+00,5.896595761825e+01
7.605070046698e+00,5.896535091027e+01
7.671781187458e+00,5.896473881713e+01
7.738492328219e+00,5.896412133810e+01
7.805203468979e+00,5.896349847249e+01
7.871914609740e+00,5.896287021957e+01
7.938625750500e+00,5.896223657864e+01
8.005336891261e+00,5.896159754897e+01
8.072048032021e+00,5.896095312986e+01
8.138759172782e+00,5.896030332059e+01
8.205470313542e+00,5.895964812044e+01
8.272181454303e+00,5.895898752869e+01
8.338892595063e+00,5.895832154463e+01
8.405603735824e+00,5.895765016754e+01
8.472314876584e+00,5.895697339670e+01
8.539026017345e+00,5.895629123139e+01
8.605737158105e+00,5.895560367088e+01
8.672448298866e+00,5.895491071446e+01
8.739159439626e+00,5.895421236140e+01
8.805870580387e+00,5.895350861098e+01
8.872581721147e+00,5.895279946248e+01
8.939292861908e+00,5.895208491517e+01
9.006004002668e+00,5.895136496832e+01
9.072715143429e+00,5.895063962122e+01
9.139426284189e+00,5.894990887312e+01
9.206137424950e+00,5.894917272331e+01
9.272848565710e+00,5.894843117105e+01
9.339559706471e+00,5.894768421562e+01
9.406270847231e+00,5.894693185628e+01
9.472981987992e+00,5.894617409231e+01
9.539693128753e+00,5.894541092296e+01
9.606404269513e+00,5.894464234752e+01
9.673115410274e+00,5.894386836525e+01
9.739826551034e+00,5.894308897541e+01
9.806537691795e+00,5.894230417726e+01
9.873248832555e+00,5.894151397007e+01
9.939959973316e+00,5.894071835312e+01
1.000667111408e+01,5.893991732564e+01
1.007338225484e+01,5.893911088692e+01
1.014009339560e+01,5.893829903621e+01
1.020680453636e+01,5.893748177277e+01
1.027351567712e+01,5.893665909586e+01
1.034022681788e+01,5.893583100474e+01
1.040693795864e+01,5.893499749867e+01
1.047364909940e+01,5.893415857690e+01
1.054036024016e+01,5.893331423870e+01
1.060707138092e+01,5.893246448331e+01
1.067378252168e+01,5.893160930999e+01
1.074049366244e+01,5.893074871800e+01
1.080720480320e+01,5.892988270659e+01
1.087391594396e+01,5.892901127501e+01
1.094062708472e+01,5.892813442252e+01
1.100733822548e+01,5.892725214835e+01
1.107404936624e+01,5.892636445178e+01
1.114076050700e+01,5.892547133203e+01
1.120747164777e+01,5.892457278837e+01
1.127418278853e+01,5.892366882004e+01
1.134089392929e+01,5.892275942629e+01
1.140760507005e+01,5.892184460636e+01
1.147431621081e+01,5.892092435950e+01
1.154102735157e+01,5.891999868496e+01
1.160773849233e+01,5.891906758197e+01
1.167444963309e+01,5.891813104978e+01
1.174116077385e+01,5.891718908763e+01
1.180787191461e+01,5.891624169477e+01
1.187458305537e+01,5.891528887043e+01
1.194129419613e+01,5.891433061386e+01
1.200800533689e+01,5.891336692429e+01
1.207471647765e+01,5.891239780096e+01
1.214142761841e+01,5.891142324311e+01
1.220813875917e+01,5.891044324997e+01
1.227484989993e+01,5.890945782079e+01
1.234156104069e+01,5.890846695479e+01
1.240827218145e+01,5.890747065121e+01
1.247498332221e+01,5.890646890929e+01
1.254169446298e+01,5.890546172825e+01
1.260840560374e+01,5.890444910733e+01
1.267511674450e+01,5.890343104576e+01
1.274182788526e+01,5.890240754277e+01
1.280853902602e+01,5.890137859759e+01
1.287525016678e+01,5.890034420944e+01
1.294196130754e+01,5.889930437756e+01
1.300867244830e+01,5.889825910117e+01
1.307538358906e+01,5.889720837950e+01
1.314209472982e+01,5.889615221177e+01
1.320880587058e+01,5.889509059721e+01
1.327551701134e+01,5.889402353504e+01
1.334222815210e+01,5.889295102448e+01
1.340893929286e+01,5.889187306476e+01
1.347565043362e+01,5.889078965510e+01
1.354236157438e+01,5.888970079471e+01
1.360907271514e+01,5.888860648282e+01
1.367578385590e+01,5.888750671865e+01
1.374249499666e+01,5.888640150141e+01
1.380920613742e+01,5.888529083032e+01
1.387591727819e+01,5.888417470460e+01
1.394262841895e+01,5.888305312346e+01
1.400933955971e+01,5.888192608611e+01
1.407605070047e+01,5.888079359178e+01
1.414276184123e+01,5.887965563968e+01
1.420947298199e+01,5.887851222901e+01
1.427618412275e+01,5.887736335898e+01
1.434289526351e+01,5.887620902882e+01
1.440960640427e+01,5.887504923772e+01
1.447631754503e+01,5.887388398490e+01
1.454302868579e+01,5.887271326956e+01
1.460973982655e+01,5.887153709092e+01
1.467645096731e+01,5.887035544817e+01
1.474316210807e+01,5.886916834053e+01
1.480987324883e+01,5.886797576719e+01
1.487658438959e+01,5.886677772737e+01
1.494329553035e+01,5.886557422026e+01
1.501000667111e+01,5.886436524507e+01
