t,r
0.000000000000e+00,2.799999999720e+01
6.671114076051e-02,2.799999302225e+01
1.334222815210e-01,2.799996705601e+01
2.001334222815e-01,2.799992320211e+01
2.668445630420e-01,2.799986107987e+01
3.335557038025e-01,2.799978065469e+01
4.002668445630e-01,2.799968191616e+01
4.669779853235e-01,2.799956484996e+01
5.336891260841e-01,2.799942944128e+01
6.004002668446e-01,2.799927567631e+01
6.671114076051e-01,2.799910354104e+01
7.338225483656e-01,2.799891302132e+01
8.005336891261e-01,2.799870410309e+01
8.672448298866e-01,2.799847677227e+01
9.339559706471e-01,2.799823101474e+01
1.000667111408e+00,2.799796681636e+01
1.067378252168e+00,2.799768416301e+01
1.134089392929e+00,2.799738304053e+01
1.200800533689e+00,2.799706343473e+01
1.267511674450e+00,2.799672533143e+01
1.334222815210e+00,2.799636871642e+01
1.400933955971e+00,2.799599357549e+01
1.467645096731e+00,2.799559989439e+01
1.534356237492e+00,2.799518765886e+01
1.601067378252e+00,2.799475685463e+01
1.667778519013e+00,2.799430746742e+01
1.734489659773e+00,2.799383948292e+01
1.801200800534e+00,2.799335288680e+01
1.867911941294e+00,2.799284766473e+01
1.934623082055e+00,2.799232380234e+01
2.001334222815e+00,2.799178128528e+01
2.068045363576e+00,2.799122009914e+01
2.134756504336e+00,2.799064022952e+01
2.201467645097e+00,2.799004166199e+01
2.268178785857e+00,2.798942438211e+01
2.334889926618e+00,2.798878837542e+01
2.401601067378e+00,2.798813362744e+01
2.468312208139e+00,2.798746012368e+01
2.535023348899e+00,2.798676784963e+01
2.601734489660e+00,2.798605679076e+01
2.668445630420e+00,2.798532693250e+01
2.735156771181e+00,2.798457826032e+01
2.801867911941e+00,2.798381075960e+01
2.868579052702e+00,2.798302441577e+01
2.935290193462e+00,2.798221921418e+01
3.002001334223e+00,2.798139514022e+01
3.068712474983e+00,2.798055217921e+01
3.135423615744e+00,2.797969031649e+01
3.202134756504e+00,2.797880953736e+01
3.268845897265e+00,2.797790982711e+01
3.335557038025e+00,2.797699117101e+01
3.402268178786e+00,2.797605355431e+01
3.468979319546e+00,2.797509696225e+01
3.535690460307e+00,2.797412138003e+01
3.602401601067e+00,2.797312679285e+01
3.669112741828e+00,2.797211318588e+01
3.735823882588e+00,2.797108054429e+01
3.802535023349e+00,2.797002885321e+01
3.869246164109e+00,2.796895809776e+01
3.935957304870e+00,2.796786826303e+01
4.002668445630e+00,2.796675933411e+01
4.069379586391e+00,2.796563129606e+01
4.136090727151e+00,2.796448413392e+01
4.202801867912e+00,2.796331783270e+01
4.269513008672e+00,2.796213237741e+01
4.336224149433e+00,2.796092775304e+01
4.402935290193e+00,2.795970394453e+01
4.469646430954e+00,2.795846093684e+01
4.536357571714e+00,2.795719871489e+01
4.603068712475e+00,2.795591726357e+01
4.669779853235e+00,2.795461656777e+01
4.736490993996e+00,2.795329661236e+01
4.803202134757e+00,2.795195738216e+01
4.869913275517e+00,2.795059886200e+01
4.936624416278e+00,2.794922103668e+01
5.003335557038e+00,2.794782389099e+01
5.070046697799e+00,2.794640740967e+01
5.136757838559e+00,2.794497157747e+01
5.203468979320e+00,2.794351637910e+01
5.270180120080e+00,2.794204179925e+01
5.336891260841e+00,2.794054782262e+01
5.403602401601e+00,2.793903443384e+01
5.470313542362e+00,2.793750161755e+01
5.537024683122e+00,2.793594935836e+01
5.603735823883e+00,2.793437764086e+01
5.670446964643e+00,2.793278644963e+01
5.737158105404e+00,2.793117576920e+01
5.803869246164e+00,2.792954558410e+01
5.870580386925e+00,2.792789587884e+01
5.937291527685e+00,2.792622663790e+01
6.004002668446e+00,2.792453784573e+01
6.070713809206e+00,2.792282948679e+01
6.137424949967e+00,2.792110154547e+01
6.204136090727e+00,2.791935400618e+01
6.270847231488e+00,2.791758685328e+01
6.337558372248e+00,2.791580007113e+01
6.404269513009e+00,2.791399364406e+01
6.470980653769e+00,2.791216755636e+01
6.537691794530e+00,2.791032179233e+01
6.604402935290e+00,2.790845633621e+01
6.671114076051e+00,2.790657117224e+01
6.737825216811e+00,2.790466628464e+01
6.804536357572e+00,2.790274165760e+01
6.871247498332e+00,2.790079727529e+01
6.937958639093e+00,2.789883312185e+01
7.004669779853e+00,2.789684918139e+01
7.071380920614e+00,2.789484543803e+01
7.138092061374e+00,2.789282187583e+01
7.204803202135e+00,2.789077847884e+01
7.271514342895e+00,2.788871523109e+01
7.338225483656e+00,2.788663211659e+01
7.404936624416e+00,2.788452911931e+01
7.471647765177e+00,2.788240622321e+01
7.538358905937e+00,2.788026341222e+01
7.605070046698e+00,2.787810067025e+01
7.671781187458e+00,2.787591798118e+01
7.738492328219e+00,2.787371532888e+01
7.805203468979e+00,2.787149269717e+01
7.871914609740e+00,2.786925006987e+01
7.938625750500e+00,2.786698743076e+01
8.005336891261e+00,2.786470476361e+01
8.072048032021e+00,2.786240205215e+01
8.138759172782e+00,2.786007928010e+01
8.205470313542e+00,2.785773643113e+01
8.272181454303e+00,2.785537348891e+01
8.338892595063e+00,2.785299043709e+01
8.405603735824e+00,2.785058725926e+01
8.472314876584e+00,2.784816393902e+01
8.539026017345e+00,2.784572045993e+01
8.605737158105e+00,2.784325680552e+01
8.672448298866e+00,2.784077295930e+01
8.739159439626e+00,2.783826890476e+01
8.805870580387e+00,2.783574462535e+01
8.872581721147e+00,2.783320010451e+01
8.939292861908e+00,2.783063532564e+01
9.006004002668e+00,2.782805027212e+01
9.072715143429e+00,2.782544492731e+01
9.139426284189e+00,2.782281927453e+01
9.206137424950e+00,2.782017329709e+01
9.272848565710e+00,2.781750697825e+01
9.339559706471e+00,2.781482030128e+01
9.406270847231e+00,2.781211324938e+01
9.472981987992e+00,2.780938580575e+01
9.539693128753e+00,2.780663795357e+01
9.606404269513e+00,2.780386967597e+01
9.673115410274e+00,2.780108095606e+01
9.739826551034e+00,2.779827177693e+01
9.806537691795e+00,2.779544212164e+01
9.873248832555e+00,2.779259197321e+01
9.939959973316e+00,2.778972131467e+01
1.000667111408e+01,2.778683012897e+01
1.007338225484e+01,2.778391839907e+01
1.014009339560e+01,2.778098610789e+01
1.020680453636e+01,2.777803323832e+01
1.027351567712e+01,2.777505977322e+01
1.034022681788e+01,2.777206569544e+01
1.040693795864e+01,2.776905098777e+01
1.047364909940e+01,2.776601563301e+01
1.054036024016e+01,2.776295961389e+01
1.060707138092e+01,2.775988291314e+01
1.067378252168e+01,2.775678551346e+01
1.074049366244e+01,2.775366739750e+01
1.080720480320e+01,2.775052854792e+01
1.087391594396e+01,2.774736894730e+01
1.094062708472e+01,2.774418857823e+01
1.100733822548e+01,2.774098742326e+01
1.107404936624e+01,2.773776546491e+01
1.114076050700e+01,2.773452268566e+01
1.120747164777e+01,2.773125906797e+01
1.127418278853e+01,2.772797459428e+01
1.134089392929e+01,2.772466924698e+01
1.140760507005e+01,2.772134300845e+01
1.147431621081e+01,2.771799586102e+01
1.154102735157e+01,2.771462778700e+01
1.160773849233e+01,2.771123876868e+01
1.167444963309e+01,2.770782878830e+01
1.174116077385e+01,2.770439782808e+01
1.180787191461e+01,2.770094587021e+01
1.187458305537e+01,2.769747289684e+01
1.194129419613e+01,2.769397889010e+01
1.200800533689e+01,2.769046383209e+01
1.207471647765e+01,2.768692770487e+01
1.214142761841e+01,2.768337049047e+01
1.220813875917e+01,2.767979217090e+01
1.227484989993e+01,2.767619272812e+01
1.234156104069e+01,2.767257214407e+01
1.240827218145e+01,2.766893040066e+01
1.247498332221e+01,2.766526747976e+01
1.254169446298e+01,2.766158336322e+01
1.260840560374e+01,2.765787803284e+01
1.267511674450e+01,2.765415147041e+01
1.274182788526e+01,2.765040365767e+01
1.280853902602e+01,2.764663457633e+01
1.287525016678e+01,2.764284420808e+01
1.294196130754e+01,2.763903253456e+01
1.300867244830e+01,2.763519953739e+01
1.307538358906e+01,2.763134519815e+01
1.314209472982e+01,2.762746949839e+01
1.320880587058e+01,2.762357241963e+01
1.327551701134e+01,2.761965394335e+01
1.334222815210e+01,2.761571405100e+01
1.340893929286e+01,2.761175272399e+01
1.347565043362e+01,2.760776994371e+01
1.354236157438e+01,2.760376569151e+01
1.360907271514e+01,2.759973994869e+01
1.367578385590e+01,2.759569269655e+01
1.374249499666e+01,2.759162391632e+01
1.380920613742e+01,2.758753358923e+01
1.387591727819e+01,2.758342169643e+01
1.394262841895e+01,2.757928821909e+01
1.400933955971e+01,2.757513313830e+01
1.407605070047e+01,2.757095643514e+01
1.414276184123e+01,2.756675809065e+01
1.420947298199e+01,2.756253808583e+01
1.427618412275e+01,2.755829640165e+01
1.434289526351e+01,2.755403301904e+01
1.440960640427e+01,2.754974791890e+01
1.447631754503e+01,2.754544108208e+01
1.454302868579e+01,2.754111248942e+01
1.460973982655e+01,2.753676212170e+01
1.467645096731e+01,2.753238995967e+01
1.474316210807e+01,2.752799598406e+01
1.480987324883e+01,2.752358017554e+01
1.487658438959e+01,2.751914251476e+01
1.494329553035e+01,2.751468298233e+01
1.501000667111e+01,2.751020155881e+01
1.507671781187e+01,2.750569822475e+01
1.514342895264e+01,2.750117296063e+01
1.521014009340e+01,2.749662574692e+01
1.527685123416e+01,2.749205656403e+01
1.534356237492e+01,2.748746539236e+01
1.541027351568e+01,2.748285221226e+01
1.547698465644e+01,2.747821700402e+01
1.554369579720e+01,2.747355974793e+01
1.561040693796e+01,2.746888042421e+01
1.567711807872e+01,2.746417901307e+01
1.574382921948e+01,2.745945549466e+01
1.581054036024e+01,2.745470984909e+01
1.587725150100e+01,2.744994205645e+01
1.594396264176e+01,2.744515209679e+01
1.601067378252e+01,2.744033995009e+01
1.607738492328e+01,2.743550559633e+01
1.614409606404e+01,2.743064901543e+01
1.621080720480e+01,2.742577018728e+01
1.627751834556e+01,2.742086909171e+01
1.634422948632e+01,2.741594570854e+01
1.641094062708e+01,2.741100001753e+01
1.647765176785e+01,2.740603199841e+01
1.654436290861e+01,2.740104163086e+01
1.661107404937e+01,2.739602889454e+01
1.667778519013e+01,2.739099376903e+01
1.674449633089e+01,2.738593623392e+01
1.681120747165e+01,2.738085626872e+01
1.687791861241e+01,2.737575385291e+01
1.694462975317e+01,2.737062896595e+01
1.701134089393e+01,2.736548158722e+01
1.707805203469e+01,2.736031169609e+01
1.714476317545e+01,2.735511927188e+01
1.721147431621e+01,2.734990429386e+01
1.727818545697e+01,2.734466674127e+01
1.734489659773e+01,2.733940659330e+01
1.741160773849e+01,2.733412382910e+01
1.747831887925e+01,2.732881842778e+01
1.754503002001e+01,2.732349036840e+01
1.761174116077e+01,2.731813963000e+01
1.767845230153e+01,2.731276619154e+01
1.774516344229e+01,2.730737003197e+01
1.781187458306e+01,2.730195113018e+01
1.787858572382e+01,2.729650946502e+01
1.794529686458e+01,2.729104501530e+01
1.801200800534e+01,2.728555775978e+01
1.807871914610e+01,2.728004767719e+01
1.814543028686e+01,2.727451474620e+01
1.821214142762e+01,2.726895894544e+01
1.827885256838e+01,2.726338025351e+01
1.834556370914e+01,2.725777864893e+01
1.841227484990e+01,2.725215411022e+01
1.847898599066e+01,2.724650661583e+01
1.854569713142e+01,2.724083614417e+01
1.861240827218e+01,2.723514267360e+01
1.867911941294e+01,2.722942618244e+01
1.874583055370e+01,2.722368664897e+01
1.881254169446e+01,2.721792405140e+01
1.887925283522e+01,2.721213836793e+01
1.894596397598e+01,2.720632957669e+01
1.901267511674e+01,2.720049765577e+01
1.907938625751e+01,2.719464258322e+01
1.914609739827e+01,2.718876433703e+01
1.921280853903e+01,2.718286289514e+01
1.927951967979e+01,2.717693823548e+01
1.934623082055e+01,2.717099033588e+01
1.941294196131e+01,2.716501917416e+01
1.947965310207e+01,2.715902472809e+01
1.954636424283e+01,2.715300697537e+01
1.961307538359e+01,2.714696589368e+01
1.967978652435e+01,2.714090146063e+01
1.974649766511e+01,2.713481365379e+01
1.981320880587e+01,2.712870245068e+01
1.987991994663e+01,2.712256782878e+01
1.994663108739e+01,2.711640976552e+01
2.001334222815e+01,2.711022823826e+01
2.008005336891e+01,2.710402322434e+01
2.014676450967e+01,2.709779470103e+01
2.021347565043e+01,2.709154264556e+01
2.028018679119e+01,2.708526703511e+01
2.034689793195e+01,2.707896784680e+01
2.041360907272e+01,2.707264505773e+01
2.048032021348e+01,2.706629864491e+01
2.054703135424e+01,2.705992858531e+01
2.061374249500e+01,2.705353485588e+01
2.068045363576e+01,2.704711743349e+01
2.074716477652e+01,2.704067629496e+01
2.081387591728e+01,2.703421141706e+01
2.088058705804e+01,2.702772277652e+01
2.094729819880e+01,2.702121035001e+01
2.101400933956e+01,2.701467411415e+01
2.108072048032e+01,2.700811404550e+01
2.114743162108e+01,2.700153012059e+01
2.121414276184e+01,2.699492231587e+01
2.128085390260e+01,2.698829060775e+01
2.134756504336e+01,2.698163497260e+01
2.141427618412e+01,2.697495538671e+01
2.148098732488e+01,2.696825182634e+01
2.154769846564e+01,2.696152426768e+01
2.161440960640e+01,2.695477268688e+01
2.168112074716e+01,2.694799706003e+01
2.174783188793e+01,2.694119736316e+01
2.181454302869e+01,2.693437357226e+01
2.188125416945e+01,2.692752566325e+01
2.194796531021e+01,2.692065361201e+01
2.201467645097e+01,2.691375739434e+01
2.208138759173e+01,2.690683698603e+01
2.214809873249e+01,2.689989236276e+01
2.221480987325e+01,2.689292350020e+01
2.228152101401e+01,2.688593037393e+01
2.234823215477e+01,2.687891295951e+01
2.241494329553e+01,2.687187123240e+01
2.248165443629e+01,2.686480516805e+01
2.254836557705e+01,2.685771474181e+01
2.261507671781e+01,2.685059992900e+01
2.268178785857e+01,2.684346070488e+01
2.274849899933e+01,2.683629704465e+01
2.281521014009e+01,2.682910892345e+01
2.288192128085e+01,2.682189631636e+01
2.294863242161e+01,2.681465919840e+01
2.301534356237e+01,2.680739754455e+01
2.308205470314e+01,2.680011132971e+01
2.314876584390e+01,2.679280052873e+01
2.321547698466e+01,2.678546511640e+01
2.328218812542e+01,2.677810506746e+01
2.334889926618e+01,2.677072035658e+01
2.341561040694e+01,2.676331095837e+01
2.348232154770e+01,2.675587684737e+01
2.354903268846e+01,2.674841799810e+01
2.361574382922e+01,2.674093438496e+01
2.368245496998e+01,2.673342598235e+01
2.374916611074e+01,2.672589276457e+01
2.381587725150e+01,2.671833470586e+01
2.388258839226e+01,2.671075178042e+01
2.394929953302e+01,2.670314396237e+01
2.401601067378e+01,2.669551122578e+01
2.408272181454e+01,2.668785354466e+01
2.414943295530e+01,2.668017089293e+01
2.421614409606e+01,2.667246324448e+01
2.428285523682e+01,2.666473057312e+01
2.434956637759e+01,2.665697285261e+01
2.441627751835e+01,2.664919005663e+01
2.448298865911e+01,2.664138215881e+01
2.454969979987e+01,2.663354913271e+01
2.461641094063e+01,2.662569095183e+01
2.468312208139e+01,2.661780758959e+01
2.474983322215e+01,2.660989901937e+01
2.481654436291e+01,2.660196521447e+01
2.488325550367e+01,2.659400614812e+01
2.494996664443e+01,2.658602179351e+01
2.501667778519e+01,2.657801212373e+01
2.508338892595e+01,2.656997711183e+01
2.515010006671e+01,2.656191673078e+01
2.521681120747e+01,2.655383095349e+01
2.528352234823e+01,2.654571975279e+01
2.535023348899e+01,2.653758310148e+01
2.541694462975e+01,2.652942097224e+01
2.548365577051e+01,2.652123333773e+01
2.555036691127e+01,2.651302017051e+01
2.561707805203e+01,2.650478144308e+01
2.568378919280e+01,2.649651712789e+01
2.575050033356e+01,2.648822719729e+01
2.581721147432e+01,2.647991162359e+01
2.588392261508e+01,2.647157037901e+01
2.595063375584e+01,2.646320343571e+01
2.601734489660e+01,2.645481076579e+01
2.608405603736e+01,2.644639234125e+01
2.615076717812e+01,2.643794813404e+01
2.621747831888e+01,2.642947811606e+01
2.628418945964e+01,2.642098225909e+01
2.635090060040e+01,2.641246053488e+01
2.641761174116e+01,2.640391291510e+01
2.648432288192e+01,2.639533937132e+01
2.655103402268e+01,2.638673987508e+01
2.661774516344e+01,2.637811439782e+01
2.668445630420e+01,2.636946291091e+01
2.675116744496e+01,2.636078538566e+01
2.681787858572e+01,2.635208179329e+01
2.688458972648e+01,2.634335210496e+01
2.695130086724e+01,2.633459629176e+01
2.701801200801e+01,2.632581432468e+01
2.708472314877e+01,2.631700617466e+01
2.715143428953e+01,2.630817181255e+01
2.721814543029e+01,2.629931120915e+01
2.728485657105e+01,2.629042433514e+01
2.735156771181e+01,2.628151116118e+01
2.741827885257e+01,2.627257165780e+01
2.748498999333e+01,2.626360579549e+01
2.755170113409e+01,2.625461354465e+01
2.761841227485e+01,2.624559487560e+01
2.768512341561e+01,2.623654975859e+01
2.775183455637e+01,2.622747816379e+01
2.781854569713e+01,2.621838006128e+01
2.788525683789e+01,2.620925542110e+01
2.795196797865e+01,2.620010421315e+01
2.801867911941e+01,2.619092640731e+01
2.808539026017e+01,2.618172197335e+01
2.815210140093e+01,2.617249088095e+01
2.821881254169e+01,2.616323309975e+01
2.828552368245e+01,2.615394859927e+01
2.835223482322e+01,2.614463734897e+01
2.841894596398e+01,2.613529931821e+01
2.848565710474e+01,2.612593447631e+01
2.855236824550e+01,2.611654279245e+01
2.861907938626e+01,2.610712423578e+01
2.868579052702e+01,2.609767877534e+01
2.875250166778e+01,2.608820638009e+01
