t,r
0.000000000000e+00,5.812499999419e+01
1.334222815210e-01,5.812498200185e+01
2.668445630420e-01,5.812492642572e+01
4.002668445630e-01,5.812483324889e+01
5.336891260841e-01,5.812470242947e+01
6.671114076051e-01,5.812453392991e+01
8.005336891261e-01,5.812432771364e+01
9.339559706471e-01,5.812408374402e+01
1.067378252168e+00,5.812380198435e+01
1.200800533689e+00,5.812348239792e+01
1.334222815210e+00,5.812312494798e+01
1.467645096731e+00,5.812272959773e+01
1.601067378252e+00,5.812229631036e+01
1.734489659773e+00,5.812182504900e+01
1.867911941294e+00,5.812131577676e+01
2.001334222815e+00,5.812076845671e+01
2.134756504336e+00,5.812018305187e+01
2.268178785857e+00,5.811955952525e+01
2.401601067378e+00,5.811889783979e+01
2.535023348899e+00,5.811819795843e+01
2.668445630420e+00,5.811745984403e+01
2.801867911941e+00,5.811668345945e+01
2.935290193462e+00,5.811586876750e+01
3.068712474983e+00,5.811501573095e+01
3.202134756504e+00,5.811412431252e+01
3.335557038025e+00,5.811319447491e+01
3.468979319546e+00,5.811222618078e+01
3.602401601067e+00,5.811121939274e+01
3.735823882588e+00,5.811017407338e+01
3.869246164109e+00,5.810909018522e+01
4.002668445630e+00,5.810796769078e+01
4.136090727151e+00,5.810680655251e+01
4.269513008672e+00,5.810560673284e+01
4.402935290193e+00,5.810436819414e+01
4.536357571714e+00,5.810309089877e+01
4.669779853235e+00,5.810177480902e+01
4.803202134757e+00,5.810041988715e+01
4.936624416278e+00,5.809902609539e+01
5.070046697799e+00,5.809759339593e+01
5.203468979320e+00,5.809612175089e+01
5.336891260841e+00,5.809461112239e+01
5.470313542362e+00,5.809306147248e+01
5.603735823883e+00,5.809147276317e+01
5.737158105404e+00,5.808984495646e+01
5.870580386925e+00,5.808817801427e+01
6.004002668446e+00,5.808647189850e+01
6.137424949967e+00,5.808472657099e+01
6.270847231488e+00,5.808294199356e+01
6.404269513009e+00,5.808111812798e+01
6.537691794530e+00,5.807925493597e+01
6.671114076051e+00,5.807735237922e+01
6.804536357572e+00,5.807541041936e+01
6.937958639093e+00,5.807342901799e+01
7.071380920614e+00,5.807140813666e+01
7.204803202135e+00,5.806934773689e+01
7.338225483656e+00,5.806724778014e+01
7.471647765177e+00,5.806510822783e+01
7.605070046698e+00,5.806292904134e+01
7.738492328219e+00,5.806071018202e+01
7.871914609740e+00,5.805845161114e+01
8.005336891261e+00,5.805615328995e+01
8.138759172782e+00,5.805381517966e+01
8.272181454303e+00,5.805143724142e+01
8.405603735824e+00,5.804901943634e+01
8.539026017345e+00,5.804656172549e+01
8.672448298866e+00,5.804406406988e+01
8.805870580387e+00,5.804152643051e+01
8.939292861908e+00,5.803894876828e+01
9.072715143429e+00,5.803633104409e+01
9.206137424950e+00,5.803367321877e+01
9.339559706471e+00,5.803097525311e+01
9.472981987992e+00,5.802823710786e+01
9.606404269513e+00,5.802545874370e+01
9.739826551034e+00,5.802264012130e+01
9.873248832555e+00,5.801978120125e+01
1.000667111408e+01,5.801688194411e+01
1.014009339560e+01,5.801394231038e+01
1.027351567712e+01,5.801096226053e+01
1.040693795864e+01,5.800794175496e+01
1.054036024016e+01,5.800488075404e+01
1.067378252168e+01,5.800177921808e+01
1.080720480320e+01,5.799863710734e+01
1.094062708472e+01,5.799545438206e+01
1.107404936624e+01,5.799223100238e+01
1.120747164777e+01,5.798896692843e+01
1.134089392929e+01,5.798566212028e+01
1.147431621081e+01,5.798231653795e+01
1.160773849233e+01,5.797893014141e+01
1.174116077385e+01,5.797550289057e+01
1.187458305537e+01,5.797203474531e+01
1.200800533689e+01,5.796852566544e+01
1.214142761841e+01,5.796497561073e+01
1.227484989993e+01,5.796138454089e+01
1.240827218145e+01,5.795775241560e+01
1.254169446298e+01,5.795407919446e+01
1.267511674450e+01,5.795036483704e+01
1.280853902602e+01,5.794660930285e+01
1.294196130754e+01,5.794281255134e+01
1.307538358906e+01,5.793897454192e+01
1.320880587058e+01,5.793509523395e+01
1.334222815210e+01,5.793117458672e+01
1.347565043362e+01,5.792721255949e+01
1.360907271514e+01,5.792320911144e+01
1.374249499666e+01,5.791916420173e+01
1.387591727819e+01,5.791507778943e+01
1.400933955971e+01,5.791094983358e+01
1.414276184123e+01,5.790678029316e+01
1.427618412275e+01,5.790256912709e+01
1.440960640427e+01,5.789831629426e+01
1.454302868579e+01,5.789402175347e+01
1.467645096731e+01,5.788968546348e+01
1.480987324883e+01,5.788530738300e+01
1.494329553035e+01,5.788088747068e+01
1.507671781187e+01,5.787642568512e+01
1.521014009340e+01,5.787192198486e+01
1.534356237492e+01,5.786737632838e+01
1.547698465644e+01,5.786278867410e+01
1.561040693796e+01,5.785815898041e+01
1.574382921948e+01,5.785348720560e+01
1.587725150100e+01,5.784877330794e+01
1.601067378252e+01,5.784401724563e+01
1.614409606404e+01,5.783921897680e+01
1.627751834556e+01,5.783437845955e+01
1.641094062708e+01,5.782949565190e+01
