t,r
0.000000000000e+00,7.281249999272e+01
1.334222815210e-01,7.281248644617e+01
2.668445630420e-01,7.281244530653e+01
4.002668445630e-01,7.281237658021e+01
5.336891260841e-01,7.281228024820e+01
6.671114076051e-01,7.281215629451e+01
8.005336891261e-01,7.281200470389e+01
9.339559706471e-01,7.281182546100e+01
1.067378252168e+00,7.281161855053e+01
1.200800533689e+00,7.281138395712e+01
1.334222815210e+00,7.281112166543e+01
1.467645096731e+00,7.281083166009e+01
1.601067378252e+00,7.281051392571e+01
1.734489659773e+00,7.281016844690e+01
1.867911941294e+00,7.280979520826e+01
2.001334222815e+00,7.280939419436e+01
2.134756504336e+00,7.280896538977e+01
2.268178785857e+00,7.280850877904e+01
2.401601067378e+00,7.280802434671e+01
2.535023348899e+00,7.280751207729e+01
2.668445630420e+00,7.280697195531e+01
2.801867911941e+00,7.280640396525e+01
2.935290193462e+00,7.280580809159e+01
3.068712474983e+00,7.280518431881e+01
3.202134756504e+00,7.280453263135e+01
3.335557038025e+00,7.280385301366e+01
3.468979319546e+00,7.280314545016e+01
3.602401601067e+00,7.280240992526e+01
3.735823882588e+00,7.280164642336e+01
3.869246164109e+00,7.280085492884e+01
4.002668445630e+00,7.280003542606e+01
4.136090727151e+00,7.279918789939e+01
4.269513008672e+00,7.279831233315e+01
4.402935290193e+00,7.279740871168e+01
4.536357571714e+00,7.279647701929e+01
4.669779853235e+00,7.279551724026e+01
4.803202134757e+00,7.279452935888e+01
4.936624416278e+00,7.279351335941e+01
5.070046697799e+00,7.279246922611e+01
5.203468979320e+00,7.279139694322e+01
5.336891260841e+00,7.279029649494e+01
5.470313542362e+00,7.278916786549e+01
5.603735823883e+00,7.278801103907e+01
5.737158105404e+00,7.278682599984e+01
5.870580386925e+00,7.278561273197e+01
6.004002668446e+00,7.278437121961e+01
6.137424949967e+00,7.278310144688e+01
6.270847231488e+00,7.278180339790e+01
6.404269513009e+00,7.278047705677e+01
6.537691794530e+00,7.277912240758e+01
6.671114076051e+00,7.277773943440e+01
6.804536357572e+00,7.277632812128e+01
6.937958639093e+00,7.277488845226e+01
7.071380920614e+00,7.277342041136e+01
7.204803202135e+00,7.277192398260e+01
7.338225483656e+00,7.277039914996e+01
7.471647765177e+00,7.276884589742e+01
7.605070046698e+00,7.276726420895e+01
7.738492328219e+00,7.276565406849e+01
7.871914609740e+00,7.276401545996e+01
8.005336891261e+00,7.276234836728e+01
8.138759172782e+00,7.276065277436e+01
8.272181454303e+00,7.275892866506e+01
8.405603735824e+00,7.275717602327e+01
8.539026017345e+00,7.275539483282e+01
8.672448298866e+00,7.275358507755e+01
8.805870580387e+00,7.275174674128e+01
8.939292861908e+00,7.274987980781e+01
9.072715143429e+00,7.274798426092e+01
9.206137424950e+00,7.274606008439e+01
9.339559706471e+00,7.274410726196e+01
9.472981987992e+00,7.274212577738e+01
9.606404269513e+00,7.274011561436e+01
9.739826551034e+00,7.273807675661e+01
9.873248832555e+00,7.273600918780e+01
1.000667111408e+01,7.273391289162e+01
1.014009339560e+01,7.273178785171e+01
1.027351567712e+01,7.272963405172e+01
1.040693795864e+01,7.272745147526e+01
1.054036024016e+01,7.272524010593e+01
1.067378252168e+01,7.272299992732e+01
1.080720480320e+01,7.272073092301e+01
1.094062708472e+01,7.271843307653e+01
1.107404936624e+01,7.271610637143e+01
1.120747164777e+01,7.271375079123e+01
1.134089392929e+01,7.271136631943e+01
1.147431621081e+01,7.270895293950e+01
1.160773849233e+01,7.270651063492e+01
1.174116077385e+01,7.270403938914e+01
1.187458305537e+01,7.270153918559e+01
1.200800533689e+01,7.269901000768e+01
1.214142761841e+01,7.269645183881e+01
1.227484989993e+01,7.269386466236e+01
1.240827218145e+01,7.269124846169e+01
1.254169446298e+01,7.268860322015e+01
1.267511674450e+01,7.268592892106e+01
1.280853902602e+01,7.268322554773e+01
1.294196130754e+01,7.268049308345e+01
1.307538358906e+01,7.267773151150e+01
1.320880587058e+01,7.267494081514e+01
1.334222815210e+01,7.267212097759e+01
1.347565043362e+01,7.266927198208e+01
1.360907271514e+01,7.266639381181e+01
1.374249499666e+01,7.266348644997e+01
1.387591727819e+01,7.266054987972e+01
1.400933955971e+01,7.265758408420e+01
1.414276184123e+01,7.265458904655e+01
1.427618412275e+01,7.265156474988e+01
1.440960640427e+01,7.264851117727e+01
1.454302868579e+01,7.264542831181e+01
1.467645096731e+01,7.264231613654e+01
1.480987324883e+01,7.263917463450e+01
1.494329553035e+01,7.263600378872e+01
1.507671781187e+01,7.263280358219e+01
1.521014009340e+01,7.262957399789e+01
1.534356237492e+01,7.262631501879e+01
1.547698465644e+01,7.262302662782e+01
1.561040693796e+01,7.261970880792e+01
1.574382921948e+01,7.261636154198e+01
1.587725150100e+01,7.261298481289e+01
1.601067378252e+01,7.260957860352e+01
1.614409606404e+01,7.260614289673e+01
1.627751834556e+01,7.260267767533e+01
1.641094062708e+01,7.259918292213e+01
1.654436290861e+01,7.259565861993e+01
1.667778519013e+01,7.259210475151e+01
1.681120747165e+01,7.258852129960e+01
1.694462975317e+01,7.258490824694e+01
1.707805203469e+01,7.258126557625e+01
1.721147431621e+01,7.257759327022e+01
1.734489659773e+01,7.257389131152e+01
1.747831887925e+01,7.257015968281e+01
1.761174116077e+01,7.256639836671e+01
1.774516344229e+01,7.256260734585e+01
1.787858572382e+01,7.255878660282e+01
1.801200800534e+01,7.255493612019e+01
1.814543028686e+01,7.255105588052e+01
1.827885256838e+01,7.254714586635e+01
1.841227484990e+01,7.254320606018e+01
1.854569713142e+01,7.253923644451e+01
1.867911941294e+01,7.253523700181e+01
1.881254169446e+01,7.253120771455e+01
1.894596397598e+01,7.252714856514e+01
1.907938625751e+01,7.252305953601e+01
1.921280853903e+01,7.251894060955e+01
1.934623082055e+01,7.251479176813e+01
1.947965310207e+01,7.251061299410e+01
1.961307538359e+01,7.250640426980e+01
1.974649766511e+01,7.250216557752e+01
1.987991994663e+01,7.249789689957e+01
2.001334222815e+01,7.249359821821e+01
2.014676450967e+01,7.248926951568e+01
2.028018679119e+01,7.248491077422e+01
2.041360907272e+01,7.248052197603e+01
2.054703135424e+01,7.247610310329e+01
2.068045363576e+01,7.247165413818e+01
2.081387591728e+01,7.246717506282e+01
2.094729819880e+01,7.246266585935e+01
2.108072048032e+01,7.245812650985e+01
2.121414276184e+01,7.245355699642e+01
2.134756504336e+01,7.244895730111e+01
2.148098732488e+01,7.244432740594e+01
2.161440960640e+01,7.243966729295e+01
2.174783188793e+01,7.243497694411e+01
2.188125416945e+01,7.243025634140e+01
2.201467645097e+01,7.242550546677e+01
2.214809873249e+01,7.242072430214e+01
2.228152101401e+01,7.241591282942e+01
2.241494329553e+01,7.241107103050e+01
2.254836557705e+01,7.240619888723e+01
2.268178785857e+01,7.240129638145e+01
2.281521014009e+01,7.239636349498e+01
2.294863242161e+01,7.239140020962e+01
2.308205470314e+01,7.238640650714e+01
2.321547698466e+01,7.238138236928e+01
2.334889926618e+01,7.237632777778e+01
2.348232154770e+01,7.237124271434e+01
2.361574382922e+01,7.236612716065e+01
2.374916611074e+01,7.236098109835e+01
2.388258839226e+01,7.235580450910e+01
2.401601067378e+01,7.235059737451e+01
2.414943295530e+01,7.234535967616e+01
2.428285523682e+01,7.234009139563e+01
2.441627751835e+01,7.233479251446e+01
2.454969979987e+01,7.232946301418e+01
2.468312208139e+01,7.232410287628e+01
2.481654436291e+01,7.231871208225e+01
2.494996664443e+01,7.231329061354e+01
2.508338892595e+01,7.230783845158e+01
2.521681120747e+01,7.230235557777e+01
2.535023348899e+01,7.229684197350e+01
2.548365577051e+01,7.229129762013e+01
2.561707805203e+01,7.228572249900e+01
2.575050033356e+01,7.228011659142e+01
2.588392261508e+01,7.227447987868e+01
2.601734489660e+01,7.226881234204e+01
2.615076717812e+01,7.226311396276e+01
2.628418945964e+01,7.225738472204e+01
2.641761174116e+01,7.225162460108e+01
2.655103402268e+01,7.224583358106e+01
2.668445630420e+01,7.224001164311e+01
2.681787858572e+01,7.223415876836e+01
2.695130086724e+01,7.222827493791e+01
2.708472314877e+01,7.222236013284e+01
2.721814543029e+01,7.221641433418e+01
2.735156771181e+01,7.221043752297e+01
2.748498999333e+01,7.220442968021e+01
2.761841227485e+01,7.219839078687e+01
2.775183455637e+01,7.219232082391e+01
2.788525683789e+01,7.218621977224e+01
2.801867911941e+01,7.218008761278e+01
2.815210140093e+01,7.217392432640e+01
2.828552368245e+01,7.216772989395e+01
2.841894596398e+01,7.216150429626e+01
2.855236824550e+01,7.215524751413e+01
2.868579052702e+01,7.214895952834e+01
2.881921280854e+01,7.214264031964e+01
2.895263509006e+01,7.213628986875e+01
2.908605737158e+01,7.212990815639e+01
2.921947965310e+01,7.212349516321e+01
2.935290193462e+01,7.211705086988e+01
2.948632421614e+01,7.211057525702e+01
2.961974649767e+01,7.210406830522e+01
2.975316877919e+01,7.209752999507e+01
2.988659106071e+01,7.209096030710e+01
3.002001334223e+01,7.208435922185e+01
3.015343562375e+01,7.207772671980e+01
3.028685790527e+01,7.207106278143e+01
3.042028018679e+01,7.206436738717e+01
3.055370246831e+01,7.205764051745e+01
3.068712474983e+01,7.205088215266e+01
3.082054703135e+01,7.204409227317e+01
3.095396931288e+01,7.203727085931e+01
3.108739159440e+01,7.203041789139e+01
3.122081387592e+01,7.202353334970e+01
3.135423615744e+01,7.201661721451e+01
3.148765843896e+01,7.200966946603e+01
3.162108072048e+01,7.200269008448e+01
3.175450300200e+01,7.199567905004e+01
3.188792528352e+01,7.198863634286e+01
3.202134756504e+01,7.198156194306e+01
3.215476984656e+01,7.197445583075e+01
3.228819212809e+01,7.196731798599e+01
3.242161440961e+01,7.196014838882e+01
3.255503669113e+01,7.195294701927e+01
3.268845897265e+01,7.194571385732e+01
3.282188125417e+01,7.193844888293e+01
3.295530353569e+01,7.193115207604e+01
3.308872581721e+01,7.192382341655e+01
3.322214809873e+01,7.191646288435e+01
3.335557038025e+01,7.190907045928e+01
3.348899266177e+01,7.190164612117e+01
3.362241494330e+01,7.189418984981e+01
3.375583722482e+01,7.188670162498e+01
3.388925950634e+01,7.187918142640e+01
3.402268178786e+01,7.187162923379e+01
3.415610406938e+01,7.186404502683e+01
3.428952635090e+01,7.185642878518e+01
3.442294863242e+01,7.184878048847e+01
3.455637091394e+01,7.184110011628e+01
3.468979319546e+01,7.183338764820e+01
3.482321547698e+01,7.182564306376e+01
3.495663775851e+01,7.181786634247e+01
3.509006004003e+01,7.181005746382e+01
3.522348232155e+01,7.180221640726e+01
3.535690460307e+01,7.179434315221e+01
3.549032688459e+01,7.178643767807e+01
3.562374916611e+01,7.177849996422e+01
3.575717144763e+01,7.177052998998e+01
3.589059372915e+01,7.176252773466e+01
3.602401601067e+01,7.175449317755e+01
3.615743829219e+01,7.174642629789e+01
3.629086057372e+01,7.173832707490e+01
3.642428285524e+01,7.173019548778e+01
3.655770513676e+01,7.172203151569e+01
3.669112741828e+01,7.171383513775e+01
3.682454969980e+01,7.170560633306e+01
3.695797198132e+01,7.169734508071e+01
3.709139426284e+01,7.168905135972e+01
3.722481654436e+01,7.168072514912e+01
3.735823882588e+01,7.167236642788e+01
3.749166110740e+01,7.166397517495e+01
3.762508338893e+01,7.165555136925e+01
3.775850567045e+01,7.164709498967e+01
3.789192795197e+01,7.163860601507e+01
3.802535023349e+01,7.163008442428e+01
3.815877251501e+01,7.162153019610e+01
3.829219479653e+01,7.161294330930e+01
3.842561707805e+01,7.160432374260e+01
3.855903935957e+01,7.159567147471e+01
3.869246164109e+01,7.158698648432e+01
3.882588392262e+01,7.157826875006e+01
3.895930620414e+01,7.156951825053e+01
3.909272848566e+01,7.156073496433e+01
3.922615076718e+01,7.155191887001e+01
3.935957304870e+01,7.154306994607e+01
3.949299533022e+01,7.153418817100e+01
3.962641761174e+01,7.152527352327e+01
3.975983989326e+01,7.151632598128e+01
3.989326217478e+01,7.150734552343e+01
4.002668445630e+01,7.149833212808e+01
4.016010673783e+01,7.148928577355e+01
4.029352901935e+01,7.148020643814e+01
4.042695130087e+01,7.147109410011e+01
4.056037358239e+01,7.146194873769e+01
4.069379586391e+01,7.145277032908e+01
4.082721814543e+01,7.144355885243e+01
4.096064042695e+01,7.143431428589e+01
4.109406270847e+01,7.142503660755e+01
4.122748498999e+01,7.141572579547e+01
4.136090727151e+01,7.140638182770e+01
4.149432955304e+01,7.139700468222e+01
4.162775183456e+01,7.138759433702e+01
4.176117411608e+01,7.137815077001e+01
4.189459639760e+01,7.136867395911e+01
4.202801867912e+01,7.135916388218e+01
4.216144096064e+01,7.134962051705e+01
4.229486324216e+01,7.134004384152e+01
4.242828552368e+01,7.133043383337e+01
