t,r
0.000000000000e+00,2.874999999712e+01
1.334222815210e-01,2.874998361264e+01
2.668445630420e-01,2.874993192480e+01
4.002668445630e-01,2.874984473765e+01
5.336891260841e-01,2.874972184566e+01
6.671114076051e-01,2.874956304689e+01
8.005336891261e-01,2.874936813951e+01
9.339559706471e-01,2.874913692087e+01
1.067378252168e+00,2.874886918745e+01
1.200800533689e+00,2.874856473493e+01
1.334222815210e+00,2.874822335815e+01
1.467645096731e+00,2.874784485110e+01
1.601067378252e+00,2.874742900695e+01
1.734489659773e+00,2.874697561802e+01
1.867911941294e+00,2.874648447576e+01
2.001334222815e+00,2.874595537080e+01
2.134756504336e+00,2.874538809288e+01
2.268178785857e+00,2.874478243091e+01
2.401601067378e+00,2.874413817292e+01
2.535023348899e+00,2.874345510607e+01
2.668445630420e+00,2.874273301667e+01
2.801867911941e+00,2.874197169013e+01
2.935290193462e+00,2.874117091099e+01
3.068712474983e+00,2.874033046291e+01
3.202134756504e+00,2.873945012866e+01
3.335557038025e+00,2.873852969013e+01
3.468979319546e+00,2.873756892830e+01
3.602401601067e+00,2.873656762326e+01
3.735823882588e+00,2.873552555419e+01
3.869246164109e+00,2.873444249939e+01
4.002668445630e+00,2.873331823620e+01
4.136090727151e+00,2.873215254110e+01
4.269513008672e+00,2.873094518961e+01
4.402935290193e+00,2.872969595635e+01
4.536357571714e+00,2.872840461501e+01
4.669779853235e+00,2.872707093833e+01
4.803202134757e+00,2.872569469814e+01
4.936624416278e+00,2.872427566532e+01
5.070046697799e+00,2.872281360980e+01
5.203468979320e+00,2.872130830057e+01
5.336891260841e+00,2.871975950567e+01
5.470313542362e+00,2.871816699216e+01
5.603735823883e+00,2.871653052617e+01
5.737158105404e+00,2.871484987285e+01
5.870580386925e+00,2.871312479637e+01
6.004002668446e+00,2.871135505994e+01
6.137424949967e+00,2.870954042578e+01
6.270847231488e+00,2.870768065514e+01
6.404269513009e+00,2.870577550826e+01
6.537691794530e+00,2.870382474440e+01
6.671114076051e+00,2.870182812182e+01
6.804536357572e+00,2.869978539778e+01
6.937958639093e+00,2.869769632854e+01
7.071380920614e+00,2.869556066932e+01
7.204803202135e+00,2.869337817434e+01
7.338225483656e+00,2.869114859681e+01
7.471647765177e+00,2.868887168890e+01
7.605070046698e+00,2.868654720174e+01
7.738492328219e+00,2.868417488544e+01
7.871914609740e+00,2.868175448906e+01
8.005336891261e+00,2.867928576060e+01
8.138759172782e+00,2.867676844704e+01
8.272181454303e+00,2.867420229428e+01
8.405603735824e+00,2.867158704715e+01
8.539026017345e+00,2.866892244944e+01
8.672448298866e+00,2.866620824384e+01
8.805870580387e+00,2.866344417198e+01
8.939292861908e+00,2.866062997440e+01
9.072715143429e+00,2.865776539055e+01
9.206137424950e+00,2.865485015879e+01
9.339559706471e+00,2.865188401637e+01
9.472981987992e+00,2.864886669945e+01
9.606404269513e+00,2.864579794308e+01
9.739826551034e+00,2.864267748117e+01
9.873248832555e+00,2.863950504653e+01
1.000667111408e+01,2.863628037083e+01
1.014009339560e+01,2.863300318463e+01
1.027351567712e+01,2.862967321732e+01
1.040693795864e+01,2.862629019716e+01
1.054036024016e+01,2.862285385127e+01
1.067378252168e+01,2.861936390559e+01
1.080720480320e+01,2.861582008492e+01
1.094062708472e+01,2.861222211287e+01
1.107404936624e+01,2.860856971190e+01
1.120747164777e+01,2.860486260326e+01
1.134089392929e+01,2.860110050705e+01
1.147431621081e+01,2.859728314213e+01
1.160773849233e+01,2.859341022621e+01
1.174116077385e+01,2.858948147576e+01
1.187458305537e+01,2.858549660606e+01
1.200800533689e+01,2.858145533115e+01
1.214142761841e+01,2.857735736386e+01
1.227484989993e+01,2.857320241579e+01
1.240827218145e+01,2.856899019730e+01
1.254169446298e+01,2.856472041749e+01
1.267511674450e+01,2.856039278424e+01
1.280853902602e+01,2.855600700414e+01
1.294196130754e+01,2.855156278254e+01
1.307538358906e+01,2.854705982351e+01
1.320880587058e+01,2.854249782983e+01
1.334222815210e+01,2.853787650302e+01
1.347565043362e+01,2.853319554328e+01
1.360907271514e+01,2.852845464953e+01
1.374249499666e+01,2.852365351938e+01
