t,r
0.000000000000e+00,8.749999999125e+01
1.334222815210e-01,8.749998954594e+01
2.668445630420e-01,8.749995831707e+01
4.002668445630e-01,8.749990631708e+01
5.336891260841e-01,8.749983353599e+01
6.671114076051e-01,8.749973996604e+01
8.005336891261e-01,8.749962559996e+01
9.339559706471e-01,8.749949043046e+01
1.067378252168e+00,8.749933445025e+01
1.200800533689e+00,8.749915765203e+01
1.334222815210e+00,8.749896002849e+01
1.467645096731e+00,8.749874157232e+01
1.601067378252e+00,8.749850227620e+01
1.734489659773e+00,8.749824213282e+01
1.867911941294e+00,8.749796113484e+01
2.001334222815e+00,8.749765927492e+01
2.134756504336e+00,8.749733654572e+01
2.268178785857e+00,8.749699293990e+01
2.401601067378e+00,8.749662845009e+01
2.535023348899e+00,8.749624306893e+01
2.668445630420e+00,8.749583678906e+01
2.801867911941e+00,8.749540960310e+01
2.935290193462e+00,8.749496150366e+01
3.068712474983e+00,8.749449248337e+01
3.202134756504e+00,8.749400253482e+01
3.335557038025e+00,8.749349165062e+01
3.468979319546e+00,8.749295982335e+01
3.602401601067e+00,8.749240704560e+01
3.735823882588e+00,8.749183330996e+01
3.869246164109e+00,8.749123860899e+01
4.002668445630e+00,8.749062293526e+01
4.136090727151e+00,8.748998628133e+01
4.269513008672e+00,8.748932863975e+01
4.402935290193e+00,8.748865000307e+01
4.536357571714e+00,8.748795036382e+01
4.669779853235e+00,8.748722971455e+01
4.803202134757e+00,8.748648804777e+01
4.936624416278e+00,8.748572535601e+01
5.070046697799e+00,8.748494163177e+01
5.203468979320e+00,8.748413686756e+01
5.336891260841e+00,8.748331105589e+01
5.470313542362e+00,8.748246418924e+01
5.603735823883e+00,8.748159626011e+01
5.737158105404e+00,8.748070726096e+01
5.870580386925e+00,8.747979718427e+01
6.004002668446e+00,8.747886602250e+01
6.137424949967e+00,8.747791376812e+01
6.270847231488e+00,8.747694041358e+01
6.404269513009e+00,8.747594595131e+01
6.537691794530e+00,8.747493037376e+01
6.671114076051e+00,8.747389367335e+01
6.804536357572e+00,8.747283584252e+01
6.937958639093e+00,8.747175687367e+01
7.071380920614e+00,8.747065675922e+01
7.204803202135e+00,8.746953549156e+01
7.338225483656e+00,8.746839306311e+01
7.471647765177e+00,8.746722946623e+01
7.605070046698e+00,8.746604469333e+01
7.738492328219e+00,8.746483873676e+01
7.871914609740e+00,8.746361158890e+01
8.005336891261e+00,8.746236324210e+01
8.138759172782e+00,8.746109368873e+01
8.272181454303e+00,8.745980292113e+01
8.405603735824e+00,8.745849093163e+01
8.539026017345e+00,8.745715771257e+01
8.672448298866e+00,8.745580325628e+01
8.805870580387e+00,8.745442755507e+01
8.939292861908e+00,8.745303060124e+01
9.072715143429e+00,8.745161238712e+01
9.206137424950e+00,8.745017290498e+01
9.339559706471e+00,8.744871214713e+01
9.472981987992e+00,8.744723010584e+01
9.606404269513e+00,8.744572677338e+01
9.739826551034e+00,8.744420214203e+01
9.873248832555e+00,8.744265620404e+01
1.000667111408e+01,8.744108895166e+01
1.014009339560e+01,8.743950037715e+01
1.027351567712e+01,8.743789047273e+01
1.040693795864e+01,8.743625923064e+01
1.054036024016e+01,8.743460664311e+01
1.067378252168e+01,8.743293270234e+01
1.080720480320e+01,8.743123740055e+01
1.094062708472e+01,8.742952072993e+01
1.107404936624e+01,8.742778268268e+01
1.120747164777e+01,8.742602325099e+01
1.134089392929e+01,8.742424242704e+01
1.147431621081e+01,8.742244020298e+01
1.160773849233e+01,8.742061657100e+01
1.174116077385e+01,8.741877152324e+01
1.187458305537e+01,8.741690505185e+01
1.200800533689e+01,8.741501714898e+01
1.214142761841e+01,8.741310780675e+01
1.227484989993e+01,8.741117701729e+01
1.240827218145e+01,8.740922477273e+01
1.254169446298e+01,8.740725106516e+01
1.267511674450e+01,8.740525588670e+01
1.280853902602e+01,8.740323922944e+01
1.294196130754e+01,8.740120108546e+01
1.307538358906e+01,8.739914144685e+01
1.320880587058e+01,8.739706030567e+01
1.334222815210e+01,8.739495765399e+01
1.347565043362e+01,8.739283348388e+01
